Date,IWO,TLT,QQQ
2/12/2016,110.807297,117.330215,93.827682
2/16/2016,113.886078,116.089996,95.943199
2/17/2016,116.272156,115.376183,98.116089
2/18/2016,115.098351,116.794853,96.99614
2/19/2016,115.964279,116.893013,97.283318
2/22/2016,117.417068,116.830536,98.862732
2/23/2016,116.272156,117.303421,97.235458
2/24/2016,117.715324,117.07148,98.163933
2/25/2016,118.600471,117.490791,99.130753
2/26/2016,119.591461,116.357643,99.006325
2/29/2016,118.7929,116.86628,98.116089
3/1/2016,121.438728,114.808388,101.265388
3/2/2016,122.612511,115.282196,101.30368
3/3/2016,123.497673,115.702309,101.112221
3/4/2016,124.248123,114.960373,101.150513
3/7/2016,125.498878,114.924606,100.528313
3/8/2016,122.31424,116.194008,99.695541
3/9/2016,122.727959,115.487778,100.336853
3/10/2016,121.448364,115.014,100.183723
3/11/2016,124.161522,113.85186,101.935432
3/14/2016,124.171165,114.209465,102.107742
3/15/2016,121.746605,114.316742,102.06945
3/16/2016,122.448936,114.656425,102.978813
3/17/2016,123.978691,115.130203,102.921394
3/18/2016,125.431541,115.371529,103.082687
3/21/2016,125.296829,114.486595,103.485924
3/22/2016,125.45079,114.45974,103.802742
3/23/2016,122.845024,115.755997,102.948273
3/24/2016,123.192085,115.800652,102.977066
3/28/2016,123.355934,115.952667,102.833061
3/29/2016,127.221672,117.168388,104.484383
3/30/2016,127.240952,115.934731,104.993233
3/31/2016,127.8386,116.75721,104.8396
4/1/2016,128.821976,117.061729,105.953293
4/4/2016,128.156799,117.133392,105.550064
4/5/2016,126.614342,118.414383,104.532379
4/6/2016,128.812347,117.554436,106.2509
4/7/2016,126.961395,119.00563,104.724411
4/8/2016,127.115669,118.253159,104.647598
4/11/2016,126.151649,118.100853,104.26355
4/12/2016,127.250565,117.285637,105.137222
4/13/2016,130.325821,117.697746,106.481339
4/14/2016,130.239075,117.133392,106.490936
4/15/2016,130.528229,118.136673,106.222107
4/18/2016,131.71402,117.626091,106.788551
4/19/2016,131.154877,117.258827,106.135735
4/20/2016,131.694717,115.968864,106.222107
4/21/2016,131.338058,115.279121,106.231728
4/22/2016,132.523773,114.983498,104.62838
4/25/2016,131.492249,114.508736,104.62838
4/26/2016,132.514145,113.989182,104.119545
4/27/2016,132.706955,115.126831,103.284286
4/28/2016,130.817459,115.601585,102.036201
4/29/2016,129.246124,115.897224,101.498558
5/2/2016,130.557159,114.730377,102.458649
5/3/2016,128.349564,116.175446,101.508179
5/4/2016,126.701096,116.812744,100.855309
5/5/2016,126.161247,117.593651,100.8265
5/6/2016,126.479362,117.091034,101.364143
5/9/2016,127.4627,117.459023,101.652161
