Date,Open,High,Low,Close,Adj Close,Volume
2014-10-29,134.820007,135.539993,133.199997,134.179993,127.686172,942900
2014-10-30,133.669998,136.149994,133.199997,135.520004,128.961349,728600
2014-10-31,137.729996,138.320007,136.850006,137.630005,130.969223,1148100
2014-11-03,137.789993,138.820007,136.869995,137.419998,130.769379,1475600
2014-11-04,136.940002,137.820007,136.229996,136.779999,130.160339,640700
2014-11-05,137.929993,137.940002,136.160004,136.539993,129.931915,1098200
2014-11-06,136.550003,137.460007,136.190002,137.449997,130.797882,1587700
2014-11-07,137.300003,137.479996,136.190002,137.479996,130.826447,1020800
2014-11-10,137.500000,138.289993,137.130005,138.270004,131.578262,1354900
2014-11-11,138.240005,138.610001,137.789993,138.559998,131.854156,1411700
2014-11-12,137.660004,139.470001,137.600006,139.199997,132.463226,1171300
2014-11-13,139.199997,139.830002,137.679993,138.050003,131.368866,1247600
2014-11-14,137.970001,138.300003,137.199997,137.850006,131.178574,781100
2014-11-17,137.539993,138.270004,136.470001,136.479996,129.874832,2352900
2014-11-18,137.059998,138.500000,137.059998,137.520004,130.864532,1059700
2014-11-19,137.339996,137.520004,135.199997,136.039993,129.456146,1680900
2014-11-20,135.289993,137.589996,135.289993,137.550003,130.893082,791700
2014-11-21,139.820007,139.860001,137.369995,137.820007,131.150009,971900
2014-11-24,137.960007,139.929993,137.960007,139.830002,133.062744,1506300
2014-11-25,139.979996,140.910004,139.309998,139.860001,133.091309,1347100
2014-11-26,139.740005,140.570007,139.600006,140.460007,133.662247,379400
2014-11-28,140.839996,140.839996,138.460007,138.669998,131.958862,756200
2014-12-01,138.059998,138.309998,136.000000,136.119995,129.532272,1582800
2014-12-02,136.279999,138.250000,136.279999,138.020004,131.340302,1073700
2014-12-03,138.179993,139.800003,137.740005,139.399994,132.653534,824200
2014-12-04,139.320007,139.410004,138.110001,138.669998,131.958862,863400
2014-12-05,139.190002,140.139999,138.410004,139.899994,133.129364,1047800
2014-12-08,139.539993,140.789993,137.630005,138.020004,131.340302,883200
2014-12-09,136.720001,140.699997,136.089996,140.580002,133.776459,1804700
2014-12-10,140.070007,140.740005,137.429993,137.520004,130.864532,1875600
2014-12-11,138.289993,140.300003,137.940002,138.240005,131.549683,1012800
2014-12-12,136.750000,138.399994,136.279999,136.800003,130.179352,977000
2014-12-15,137.460007,138.020004,134.699997,135.259995,128.713913,1532500
2014-12-16,134.710007,137.279999,134.410004,134.779999,128.257141,1477900
2014-12-17,135.220001,139.300003,134.809998,139.210007,132.472763,1716000
2014-12-18,140.839996,141.669998,140.190002,141.660004,134.804153,1182800
2014-12-19,142.000000,142.539993,140.830002,141.690002,134.832703,2144700
2014-12-22,142.089996,142.770004,141.639999,142.740005,135.831909,1003000
2014-12-23,143.660004,143.899994,141.940002,142.369995,135.479752,1287100
2014-12-24,142.449997,143.199997,141.910004,142.740005,136.177216,283200
2014-12-26,143.270004,144.059998,143.119995,143.710007,137.102615,477500
2014-12-29,143.750000,144.600006,143.589996,144.000000,137.379318,522100
2014-12-30,143.699997,144.229996,142.929993,143.080002,136.501556,848300
2014-12-31,143.610001,144.550003,142.339996,142.380005,135.833771,1444200
2015-01-02,143.169998,143.660004,140.130005,141.410004,134.908340,3992800
2015-01-05,140.639999,141.490005,138.970001,139.740005,133.315155,2558900
2015-01-06,140.169998,140.240005,135.699997,137.210007,130.901489,1330400
2015-01-07,138.440002,139.350006,137.630005,139.289993,132.885788,1418900
2015-01-08,140.580002,142.100006,140.330002,141.990005,135.461685,669200
2015-01-09,142.009995,142.029999,140.410004,140.979996,134.498138,870900
2015-01-12,141.369995,141.679993,139.440002,140.520004,134.059311,1047100
2015-01-13,141.630005,143.139999,138.699997,140.500000,134.040192,866100
2015-01-14,138.639999,140.309998,138.539993,139.960007,133.525009,832600
2015-01-15,140.279999,140.539993,136.580002,136.740005,130.453049,1178200
2015-01-16,136.399994,139.660004,136.039993,139.449997,133.038483,877500
2015-01-20,139.770004,139.880005,137.589996,139.289993,132.885788,979700
2015-01-21,138.880005,140.039993,137.940002,138.580002,132.208481,885200
2015-01-22,139.630005,141.220001,137.279999,141.169998,134.679382,1052000
2015-01-23,141.179993,142.279999,140.690002,141.610001,135.099167,1122300
2015-01-26,141.559998,143.149994,140.470001,143.149994,136.568344,750100
2015-01-27,141.300003,143.330002,140.949997,142.470001,135.919617,909300
