Date,Open,High,Low,Close,Adj Close,Volume
2014-10-29,118.959999,119.820000,118.419998,119.459999,103.026131,9105100
2014-10-30,120.320000,120.459999,119.510002,119.559998,103.112381,7024400
2014-10-31,119.339996,119.709999,118.830002,119.250000,102.845039,6664200
2014-11-03,118.900002,119.160004,118.209999,118.959999,102.845055,9726600
2014-11-04,119.419998,119.910004,119.080002,119.330002,103.164894,3664800
2014-11-05,118.910004,119.370003,118.820000,119.160004,103.017929,4799600
2014-11-06,118.599998,118.930000,118.309998,118.389999,102.352242,5901900
2014-11-07,118.720001,119.750000,118.680000,119.750000,103.528046,8550500
2014-11-10,119.580002,119.580002,118.559998,118.650002,102.577026,4787300
2014-11-11,118.480003,118.809998,118.339996,118.730003,102.646210,2416500
2014-11-12,119.199997,119.529999,118.449997,118.629997,102.559746,4040800
2014-11-13,118.699997,119.180000,118.440002,118.910004,102.801811,4475900
2014-11-14,118.839996,119.589996,118.680000,119.489998,103.303253,5191200
2014-11-17,119.779999,119.790001,118.879997,119.190002,103.043884,4726200
2014-11-18,119.320000,119.580002,119.160004,119.519997,103.329193,4471200
2014-11-19,118.879997,119.580002,118.760002,118.760002,102.672127,5792500
2014-11-20,119.900002,119.949997,119.059998,119.379997,103.208138,5683600
2014-11-21,119.570000,120.160004,119.519997,120.099998,103.830597,3640100
2014-11-24,119.669998,120.269997,119.550003,120.199997,103.917061,4033900
2014-11-25,120.370003,121.269997,120.309998,121.199997,104.781563,6770000
2014-11-26,121.639999,121.870003,121.470001,121.529999,105.066902,4339100
2014-11-28,122.129997,122.669998,122.129997,122.489998,105.896851,4562200
2014-12-01,122.680000,122.809998,121.459999,121.500000,105.279060,7728600
2014-12-02,120.839996,120.849998,120.290001,120.320000,104.256531,5757200
2014-12-03,120.300003,120.800003,120.129997,120.790001,104.663780,4868600
2014-12-04,120.750000,121.800003,120.620003,121.800003,105.539001,4250500
2014-12-05,121.570000,121.599998,120.519997,121.089996,104.923775,8030700
2014-12-08,121.419998,122.839996,121.139999,122.570000,106.206177,6021800
2014-12-09,123.599998,123.970001,122.959999,123.199997,106.752068,6639700
2014-12-10,123.180000,124.400002,123.080002,124.099998,107.531914,6439200
2014-12-11,123.739998,124.610001,123.290001,124.610001,107.973831,7863500
2014-12-12,125.449997,126.349998,125.019997,126.300003,109.438210,9317400
2014-12-15,125.639999,126.699997,125.430000,126.040001,109.212906,9387400
2014-12-16,127.360001,127.720001,126.360001,127.599998,110.564659,7426400
2014-12-17,126.910004,127.190002,125.699997,126.449997,109.568184,11558800
2014-12-18,124.930000,125.099998,124.199997,124.199997,107.618561,12758200
2014-12-19,124.580002,125.949997,124.440002,125.870003,109.065613,7894500
2014-12-22,125.449997,126.190002,125.320000,126.040001,109.212906,4118800
2014-12-23,125.449997,125.599998,123.489998,123.540001,107.046661,7406100
2014-12-24,123.059998,124.059998,122.930000,123.949997,107.629326,4871400
2014-12-26,124.550003,124.589996,124.019997,124.410004,108.028748,2921300
2014-12-29,124.910004,125.660004,124.809998,125.339996,108.836311,4070700
2014-12-30,125.980003,126.209999,125.529999,125.680000,109.131546,4372600
2014-12-31,125.699997,126.169998,125.650002,125.919998,109.339935,4993300
2015-01-02,126.290001,127.660004,126.150002,127.320000,110.555611,9432000
2015-01-05,128.009995,129.630005,127.959999,129.320007,112.292290,9789500
2015-01-06,130.699997,132.490005,130.190002,131.649994,114.315491,18331300
2015-01-07,130.699997,131.970001,130.169998,131.389999,114.089676,9762900
2015-01-08,130.360001,130.369995,129.419998,129.649994,112.578781,8055300
2015-01-09,129.199997,131.110001,129.039993,131.070007,113.811844,9398800
2015-01-12,131.000000,132.309998,130.919998,131.820007,114.463074,6658100
2015-01-13,131.389999,132.610001,131.139999,131.820007,114.463074,8260800
2015-01-14,133.720001,134.119995,132.699997,132.820007,115.331413,12324500
2015-01-15,132.850006,135.029999,132.679993,134.910004,117.146210,11454200
2015-01-16,134.330002,134.679993,133.029999,133.190002,115.652634,9390500
2015-01-20,134.130005,135.110001,134.070007,134.960007,117.189644,7758700
2015-01-21,135.199997,135.589996,132.960007,133.399994,115.835022,9803900
2015-01-22,134.000000,134.179993,132.279999,132.919998,115.418259,10200000
2015-01-23,134.300003,135.119995,134.149994,134.770004,117.024658,7334600
2015-01-26,134.839996,135.190002,134.050003,134.360001,116.668663,5966500
2015-01-27,135.729996,136.130005,134.149994,134.570007,116.850990,8079600
2015-01-28,134.750000,137.410004,134.699997,136.770004,118.761330,12230300
2015-01-29,136.119995,136.669998,135.460007,135.869995,117.979843,8881400
2015-01-30,137.710007,138.500000,137.179993,138.279999,120.072517,14871200
2015-02-02,136.699997,137.919998,136.660004,137.479996,119.619125,13689900
2015-02-03,135.649994,135.789993,134.369995,134.570007,117.087234,14008700
2015-02-04,133.490005,134.990005,133.119995,134.800003,117.287338,11360400
2015-02-05,134.000000,134.229996,133.110001,133.320007,115.999619,8334600
2015-02-06,132.050003,132.350006,130.589996,130.960007,113.946236,13685600
2015-02-09,131.970001,131.979996,130.750000,130.750000,113.763504,8025500
2015-02-10,130.139999,130.470001,129.440002,129.710007,112.858627,8290700
2015-02-11,129.699997,130.270004,128.960007,129.949997,113.067444,6506400
2015-02-12,129.660004,130.539993,129.449997,129.520004,112.693314,12548300
2015-02-13,129.509995,129.529999,128.089996,128.190002,111.536087,8325200
2015-02-17,127.800003,127.930000,125.919998,126.260002,109.856804,14968800
2015-02-18,126.820000,127.739998,126.470001,127.010002,110.509399,14009200
2015-02-19,126.779999,127.449997,126.169998,126.169998,109.778496,8584800
2015-02-20,127.050003,128.009995,126.000000,126.540001,110.100449,12502500
2015-02-23,127.190002,128.169998,127.160004,127.989998,111.362083,7500500
2015-02-24,127.650002,129.789993,127.180000,129.669998,112.823822,11958300
